Exercise,Weight(lbs): first set,Weight(lbs): Second set,Weight(lbs): third set,Reps; first set,Reps; second set,Reps; third set,category,Date (MDDYYYY OR MMDDYYYY)
bench press,55,50,0,3,5,0,Upper body,9022025
tricep extension,40,40,40,10,10,10,Upper body,9022025
diverging lat pulldowns,35,40,40,10,10,10,Upper body,9022025
Lat Pulldown:,50,50,50,10,10,10,Upper body,9022025
low row,50,50,50,10,10,10,Upper body,9022025
bicep curls,5,5,10,15,15,10,Upper body,9022025
lat raises,5,0,0,10,0,0,Upper body,9022025
free weight bench press,10,10,10,10,10,10,Upper body,9022025
Folding Abs,10,10,10,10,10,10,Upper body,9022025
Knee Abs,10,10,10,10,10,10,Upper body,9022025
Calf Raises,40,45,50,10,10,10,Lower body,9032025
leg press,70,70,70,10,10,10,Lower body,9032025
Leg extensions ,60,60,60,10,10,10,Lower body,9032025
Outer thigh,55,55,55,10,10,10,Lower body,9032025
Inner thigh,55,55,55,10,10,10,Lower body,9032025
Squat,45,0,0,10,0,0,Lower body,9032025
Leg  curl,60,60,60,10,10,10,Lower body,9032025
Calf Raises,50,55,60,10,10,10,Lower body,9082025
leg press,70,70,70,10,10,10,Lower body,9082025
Leg extensions ,60,60,60,10,10,10,Lower body,9082025
Outer thigh,65,65,65,10,10,10,Lower body,9082025
Inner thigh,60,60,60,10,10,10,Lower body,9082025
Back extension,60,60,60,10,10,10,Upper body,9082025
Leg  curl,65,65,65,10,10,10,Lower body,9162025
Calf Raises,50,55,60,10,10,10,Lower body,9162025
leg press,80,80,80,10,10,10,Lower body,9162025
Leg extensions ,65,65,65,10,10,10,Lower body,9162025
Outer thigh,70,70,70,10,10,10,Lower body,9162025
Inner thigh,65,65,65,10,10,10,Lower body,9162025
Tricep extension,45,45,45,10,10,10,Upper body,9162025
Calf Raises,70,70,70,10,10,10,Lower body,9232025
Leg extensions ,65,65,65,10,10,10,Lower body,9232025
Outer thigh,75,75,75,10,10,10,Lower body,9232025
Inner thigh,70,70,70,10,10,10,Lower body,9232025
Leg  curl,65,65,65,10,10,10,Lower body,9232025
leg press,80,80,80,10,10,10,Lower body,9232025
bench press,100,0,0,4,0,0,Upper body,9022025
tricep extension,35,35,40,10,10,10,Upper body,9022025
diverging lat pulldowns,70,70,70,10,10,10,Upper body,9022025
Lat Pulldown:,65,70,70,10,10,10,Upper body,9022025
pull up: assisted,80,0,N/A,N/A,N/A,N/A,Upper body,9022025
low row,60,60,60,10,10,7,Upper body,9022025
bicep curls,18,20,0,10,10,0,Upper body,9022025
lat raises,5,5,0,10,10,0,Upper body,9022025
free weight bench press,15,20,25,10,10,8,Upper body,9022025
Folding Abs,10,0,0,10,0,0,Upper body,9022025
Knee Abs,0,10,10,N/A,N/A,N/A,Upper body,9022025
Hip thrust(Regular),100,116,136,10,10,10,Lower body,9032025
bulgarian splits,0,5,10,9,7,8,Lower body,9032025
Leg extensions ,45,75,100,10,10,5,Lower body,9032025
Outer thigh,65,95,105,10,10,8,Lower body,9032025
Inner thigh,60,80,70,10,5,7,Lower body,9032025
Leg  curl,60,80,80,10,6,7,Lower body,9032025
zecher squat,0,10,0,10,10,0,Lower body,9032025
Hip thrust(Regular),106,126,146,10,8,7,Lower body,9082025
bulgarian splits,0,7.5,12.5,8,7,3,Lower body,9082025
Leg extensions ,0,0,0,0,0,0,Lower body,9082025
Outer thigh,70,100,105,10,7,6,Lower body,9082025
Inner thigh,65,80,90,10,8,4,Lower body,9082025
Leg  curl,0,0,0,0,0,0,Lower body,9082025
zecher squat,0,0,0,0,0,0,Lower body,9082025
Leg extensions ,0,0,0,0,0,0,Lower body,9082025
Hip thrust (8-8-8),116,136,146,8,8,8,Lower body,9152025
bulgarian splits,5,10,0,8,6,0,Lower body,9152025
Leg extensions ,60,85,110,10,8,5,Lower body,9152025
Outer thigh,75,110,100,10,8,10,Lower body,9152025
Inner thigh,75,90,95,10,7,4,Lower body,9152025
Leg  curl,70,90,80,10,5,N/A,Lower body,9152025
zecher squat,0,0,0,0,0,0,Lower body,9152025
Back extension,0,5,15,N/A,N/A,N/A,Upper body,9132025
Back extension,5,10,20,10,10,5,Upper body,9272025
Hip thrust (8-8-8),116,136,146,8,8,8,Lower body,9232025
bulgarian splits,2.5,7.5,12.5,10,5,4,Lower body,9232025
Leg extensions ,85,0,0,8,0,0,Lower body,9232025
Outer thigh,75,95,0,10,10,0,Lower body,9232025
Inner thigh,75,90,0,10,6,0,Lower body,9232025
Leg  curl,70,80,90,10,8,4,Lower body,9232025
zecher squat,0,0,0,0,0,0,Lower body,9232025
Hip thrust (8-8-8),116,136,0,8,8,0,Lower body,9272025
Hip thrust (8-8-8),126,146,156,8,8,8,Lower body,9302025
bulgarian splits,7.5,12.5,15,10,6,4,Lower body,9302025
Leg extensions ,75,100,115,10,6,4,Lower body,9302025
Outer thigh,85,95,110,10,10,7,Lower body,9302025
Inner thigh,75,85,100,10,7,4,Lower body,9302025
Leg  curl,75,85,95,10,7,4,Lower body,9302025
zecher squat,0,0,0,0,0,0,Lower body,9302025
Hip thrust (8-8-8),0,0,0,0,0,0,Lower body,9132025
bulgarian splits,0,7.5,12.5,7,8,5,Lower body,9132025
Leg extensions ,50,80,105,10,8,5,Lower body,9132025
Outer thigh,70,105,90,10,8,N/A,Lower body,9132025
